Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
None,52.77894,0,12.8321,1.2736,-0.7555
Posterior,72.51884,0,12.8435,1.2804,-0.7497
None,82.26086,0,12.8365,1.3004,-0.7513
None,82.85381,0,12.8406,1.2970,-0.7512
Posterior,100.2213,0,12.8141,1.3191,-0.7550
Posterior,102.0635,0,12.8155,1.3181,-0.7551
Posterior,102.5959,0,12.8155,1.3181,-0.7551
Posterior,103.7319,0,12.8242,1.3119,-0.7532
None,104.2549,0,12.8260,1.3103,-0.7523
None,122.0927,0,12.8424,1.2747,-0.7497
None,122.6618,0,12.8420,1.2754,-0.7500
None,125.1644,0,12.8449,1.2814,-0.7492
None,125.8042,0,12.8454,1.2823,-0.7490
None,126.374,0,12.8462,1.2830,-0.7487
None,126.9348,0,12.8470,1.2839,-0.7484
None,127.4814,0,12.8480,1.2847,-0.7479
None,128.2768,0,12.8477,1.2875,-0.7477
None,128.7955,0,12.8471,1.2890,-0.7477
None,132.1708,0,12.8394,1.2763,-0.7519
None,132.7326,0,12.8363,1.2745,-0.7537
None,133.6898,0,12.8320,1.2733,-0.7555
None,134.2163,0,12.8304,1.2720,-0.7556
None,135.3866,0,12.8276,1.2716,-0.7565
None,136.7091,0,12.8253,1.2719,-0.7575
None,140.3895,0,12.8230,1.2755,-0.7600
None,141.1868,0,12.8205,1.2749,-0.7606
None,141.823,0,12.8208,1.2754,-0.7607
None,143.4086,0,12.8212,1.2779,-0.7611
None,144.906,0,12.8210,1.2785,-0.7613
None,151.2947,0,12.8159,1.2769,-0.7626
