Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
LesserCurvature,58.64463,0,12.7487,1.3757,-0.7274
LesserCurvature,59.14795,0,12.7487,1.3757,-0.7274
Posterior,69.14784,0,12.7503,1.3254,-0.7675
Posterior,69.70335,0,12.7503,1.3254,-0.7675
LesserCurvature,79.98211,0,12.7810,1.3594,-0.6312
None,88.32021,0,12.7708,1.3498,-0.6170
None,88.8317,0,12.7707,1.3498,-0.6170
Posterior,110.6991,0,12.8216,1.3282,-0.7438
Posterior,111.2519,0,12.8216,1.3282,-0.7438
None,133.896,0,12.8492,1.2413,-0.7267
None,134.4283,0,12.8490,1.2412,-0.7268
None,150.8058,0,12.7619,1.2104,-0.7175
None,151.6863,0,12.7619,1.2104,-0.7175
Posterior,166.4442,0,12.7638,1.2667,-0.7670
Posterior,167.401,0,12.7638,1.2667,-0.7670
