Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
LesserCurvature,63.60292,0,12.7916,1.3589,-0.7268
LesserCurvature,64.13935,0,12.7917,1.3588,-0.7267
LesserCurvature,65.94292,0,12.7873,1.3577,-0.7308
None,66.47308,0,12.7818,1.3568,-0.7328
None,67.003,0,12.7789,1.3555,-0.7399
None,67.56116,0,12.7773,1.3550,-0.7419
None,68.08292,0,12.7743,1.3542,-0.7449
Posterior,68.61903,0,12.7623,1.3519,-0.7503
Posterior,69.14075,0,12.7530,1.3510,-0.7518
Posterior,69.68057,0,12.7527,1.3504,-0.7521
Posterior,70.85686,0,12.7482,1.3498,-0.7518
Posterior,71.38945,0,12.7389,1.3491,-0.7519
None,71.91265,0,12.7363,1.3487,-0.7518
None,72.4493,0,12.7319,1.3479,-0.7534
None,72.97871,0,12.7180,1.3466,-0.7537
None,73.50333,0,12.7094,1.3456,-0.7514
None,74.03896,0,12.6960,1.3448,-0.7420
Posterior,90.2298,0,12.8207,1.3293,-0.7435
Posterior,90.73561,0,12.8207,1.3293,-0.7435
Posterior,91.28526,0,12.8196,1.3290,-0.7445
Posterior,91.79728,0,12.8133,1.3279,-0.7489
Posterior,92.29895,0,12.8049,1.3270,-0.7530
Posterior,92.81894,0,12.7960,1.3263,-0.7565
Posterior,93.32681,0,12.7912,1.3264,-0.7572
Posterior,95.91438,0,12.7882,1.3241,-0.7578
Posterior,96.42673,0,12.7805,1.3235,-0.7607
Posterior,98.10143,0,12.7705,1.3127,-0.7691
Posterior,98.61939,0,12.7647,1.3130,-0.7694
Posterior,99.13411,0,12.7566,1.3135,-0.7695
Posterior,113.7214,0,12.8436,1.2578,-0.7432
Posterior,115.4381,0,12.8405,1.2575,-0.7450
Posterior,115.9449,0,12.8339,1.2572,-0.7486
Posterior,116.4573,0,12.8286,1.2571,-0.7514
Posterior,116.9587,0,12.8248,1.2571,-0.7532
None,117.4633,0,12.8197,1.2577,-0.7552
Posterior,118.0167,0,12.8134,1.2583,-0.7578
Posterior,118.5386,0,12.8134,1.2583,-0.7578
Posterior,119.0441,0,12.8064,1.2592,-0.7604
Posterior,119.6041,0,12.7963,1.2617,-0.7630
Posterior,120.1561,0,12.7894,1.2640,-0.7642
Posterior,120.7046,0,12.7888,1.2642,-0.7643
Posterior,121.2579,0,12.7822,1.2664,-0.7654
Posterior,121.8052,0,12.7745,1.2687,-0.7668
Posterior,122.3634,0,12.7647,1.2726,-0.7678
Posterior,122.9104,0,12.7615,1.2737,-0.7683
Posterior,123.4657,0,12.7561,1.2749,-0.7697
Posterior,124.0253,0,12.7469,1.2799,-0.7692
