SutureSetCount,SutureCount,FPS,RenderTime,SolverTime
1,6,-2.147484E+09,3.180812,NaN
2,6,-2.147484E+09,3.234313,NaN
3,6,-2.147484E+09,3.261997,NaN
4,6,-2.147484E+09,3.378718,NaN
5,6,-2.147484E+09,3.496838,NaN
6,6,-2.147484E+09,3.604882,NaN
