Seconds,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,QuatX,QuatY,QuatZ,QuatW
3.76394271850586,3.58149790763855,-0.502999782562256,-0.1514001339674,332.175262451172,61.3068695068359,1.59643220901489,0.199926093220711,-0.497720956802368,-0.13420657813549,-0.833241939544678
4.26715135574341,3.58149361610413,-0.502999782562256,-0.1514001339674,332.175567626953,61.3068618774414,1.59647405147552,0.199923634529114,-0.497721254825592,-0.134205520153046,-0.833242475986481
4.76846647262573,3.58149790763855,-0.502999782562256,-0.1514001339674,332.175567626953,61.3067398071289,1.59650814533234,0.199923783540726,-0.497720420360565,-0.134205654263496,-0.833242893218994
5.27064752578735,3.58149790763855,-0.502999782562256,-0.1514001339674,332.175476074219,61.3065338134766,1.59646773338318,0.199924781918526,-0.497718781232834,-0.134205341339111,-0.833243668079376
5.77330112457275,3.58149790763855,-0.502999782562256,-0.1514001339674,332.175476074219,61.3063850402832,1.59645736217499,0.19992507994175,-0.497717648744583,-0.134205058217049,-0.833244323730469
6.27493667602539,3.58149790763855,-0.502999782562256,-0.1514001339674,332.175476074219,61.3061065673828,1.59654700756073,0.199924945831299,-0.497715801000595,-0.134205177426338,-0.833245456218719
6.77773523330688,3.58149361610413,-0.502999782562256,-0.1514001339674,332.175384521484,61.3061332702637,1.5967812538147,0.199924632906914,-0.497716307640076,-0.134207367897034,-0.833244860172272
7.27950668334961,3.58149790763855,-0.502999782562256,-0.1514001339674,332.17529296875,61.30615234375,1.59695434570313,0.199924558401108,-0.497716695070267,-0.13420906662941,-0.833244442939758
7.78028774261475,3.58150219917297,-0.502999782562256,-0.1514001339674,332.175262451172,61.3061408996582,1.59699940681458,0.199924543499947,-0.497716635465622,-0.134209483861923,-0.833244323730469
8.28249931335449,3.58149790763855,-0.502999782562256,-0.1514001339674,332.175048828125,61.3062629699707,1.59703326225281,0.199925854802132,-0.497717380523682,-0.134210869669914,-0.833243429660797
8.78385162353516,3.58149790763855,-0.502999782562256,-0.1514001339674,332.174957275391,61.3062400817871,1.5969226360321,0.199927046895027,-0.497716933488846,-0.13421043753624,-0.833243429660797
9.28491401672363,3.58149790763855,-0.502999782562256,-0.1514001339674,332.174713134766,61.3064270019531,1.59701979160309,0.199928134679794,-0.497718244791031,-0.134212478995323,-0.833242118358612
9.78565502166748,3.58149790763855,-0.502999782562256,-0.1514001339674,332.174346923828,61.3069267272949,1.59689879417419,0.199930712580681,-0.497721284627914,-0.134214013814926,-0.833239376544952
10.2869892120361,3.58149790763855,-0.502999782562256,-0.1514001339674,332.174102783203,61.3070831298828,1.59673321247101,0.199933037161827,-0.497721880674362,-0.134214133024216,-0.833238482475281
10.7885780334473,3.58149790763855,-0.502999782562256,-0.1514001339674,332.173858642578,61.3073196411133,1.5966864824295,0.199934676289558,-0.497723311185837,-0.134215220808983,-0.833237051963806
