Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
Posterior,39.61271,0,12.8003,1.3276,-0.7550
Posterior,40.12053,0,12.8004,1.3276,-0.7550
Posterior,40.69666,0,12.8004,1.3275,-0.7550
Posterior,41.2267,0,12.8013,1.3272,-0.7548
Posterior,41.81617,0,12.7977,1.3281,-0.7556
Posterior,42.3175,0,12.7935,1.3291,-0.7563
Posterior,42.90707,0,12.7896,1.3299,-0.7568
Posterior,43.41461,0,12.7861,1.3306,-0.7573
Posterior,43.91747,0,12.7825,1.3311,-0.7574
Posterior,44.41961,0,12.7812,1.3312,-0.7573
Posterior,44.92089,0,12.7813,1.3311,-0.7573
Posterior,45.4226,0,12.7813,1.3311,-0.7573
Posterior,45.98834,0,12.7813,1.3311,-0.7573
Posterior,46.49179,0,12.7817,1.3317,-0.7573
Posterior,46.99413,0,12.7797,1.3266,-0.7586
Posterior,47.58082,0,12.7800,1.3188,-0.7641
Posterior,48.09039,0,12.7802,1.3187,-0.7640
Posterior,71.08282,0,12.7798,1.3189,-0.7642
None,71.59033,0,12.7829,1.3143,-0.7647
None,72.11195,0,12.7836,1.3144,-0.7647
None,72.63483,0,12.7844,1.3142,-0.7648
None,73.34664,0,12.7927,1.3086,-0.7665
Posterior,73.88287,0,12.7932,1.3081,-0.7665
Posterior,74.42117,0,12.7936,1.3079,-0.7665
Posterior,74.95314,0,12.7859,1.3112,-0.7659
Posterior,75.46488,0,12.7953,1.3077,-0.7662
Posterior,76.00191,0,12.7950,1.3078,-0.7663
Posterior,76.50701,0,12.7958,1.3093,-0.7660
Posterior,77.03838,0,12.7957,1.3227,-0.7571
