Seconds,Target,Status
3.293344,tv,Enter
3.799113,tv,Click
4.339209,tv,Click
4.632561,tv,Exit
4.632561,Instructions_TV,Enter
5.178216,Instructions_TV,Click
5.317204,Instructions_TV,Exit
5.317204,tv,Enter
5.819831,tv,Click
6.32666,tv,Click
6.876658,tv,Click
7.384127,tv,Click
7.583128,tv,Exit
7.583128,floor,Enter
7.831533,floor,Exit
7.831533,GravityActivationTrigger,Enter
8.034148,GravityActivationTrigger,Exit
8.034148,floor,Enter
8.381516,floor,Exit
8.381516,tv,Enter
8.884836,tv,Click
9.388579,tv,Click
9.891721,tv,Click
10.43879,tv,Click
10.94134,tv,Click
11.48899,tv,Click
12.00482,tv,Click
12.50904,tv,Click
13.01147,tv,Click
13.51239,tv,Click
14.02065,tv,Click
14.54777,tv,Click
15.06888,tv,Click
15.59658,tv,Click
16.13727,tv,Click
16.68314,tv,Click
17.22693,tv,Click
17.74213,tv,Click
18.30027,tv,Click
18.82701,tv,Click
19.40381,tv,Click
19.93044,tv,Click
20.46597,tv,Click
20.99532,tv,Click
21.53935,tv,Click
22.04841,tv,Click
22.56467,tv,Click
23.07,tv,Click
23.5809,tv,Click
24.09811,tv,Click
24.61078,tv,Click
25.12099,tv,Click
25.63457,tv,Click
26.13846,tv,Click
26.64606,tv,Click
27.22849,tv,Click
27.76789,tv,Click
28.31295,tv,Click
28.8461,tv,Click
29.4155,tv,Click
29.93124,tv,Click
30.45161,tv,Click
30.99834,tv,Click
31.54078,tv,Click
32.08937,tv,Click
32.59032,tv,Click
33.14483,tv,Click
33.68198,tv,Click
34.22551,tv,Click
34.78746,tv,Click
35.29303,tv,Click
35.84005,tv,Click
36.37398,tv,Click
36.92717,tv,Click
37.46429,tv,Click
37.99303,tv,Click
38.53255,tv,Click
39.08244,tv,Click
39.5981,tv,Click
40.11198,tv,Click
40.64054,tv,Click
41.19175,tv,Click
41.7411,tv,Click
42.2709,tv,Click
42.8112,tv,Click
43.35108,tv,Click
43.89258,tv,Click
44.39528,tv,Click
44.91015,tv,Click
45.46297,tv,Click
45.99436,tv,Click
46.53205,tv,Click
47.08337,tv,Click
47.62508,tv,Click
48.16601,tv,Click
48.67188,tv,Click
49.18217,tv,Click
49.70593,tv,Click
50.20876,tv,Click
50.71795,tv,Click
51.2398,tv,Click
51.80434,tv,Click
52.32324,tv,Click
52.82408,tv,Click
53.38707,tv,Click
53.89573,tv,Click
54.39577,tv,Click
54.93799,tv,Click
55.46581,tv,Click
56.04184,tv,Click
56.54991,tv,Click
57.0508,tv,Click
57.56762,tv,Click
58.08443,tv,Click
58.60269,tv,Click
59.14656,tv,Click
59.66796,tv,Click
60.18142,tv,Click
60.70264,tv,Click
61.23753,tv,Click
61.76609,tv,Click
62.29192,tv,Click
62.80035,tv,Click
63.37643,tv,Click
63.94849,tv,Click
64.45914,tv,Click
64.97742,tv,Click
65.49032,tv,Click
66.06931,tv,Click
66.578,tv,Click
67.15264,tv,Click
67.65729,tv,Click
68.1615,tv,Click
68.68484,tv,Click
69.25308,tv,Click
69.76167,tv,Click
70.26652,tv,Click
70.7803,tv,Click
71.28412,tv,Click
71.79771,tv,Click
72.30956,tv,Click
72.81342,tv,Click
73.3231,tv,Click
73.83585,tv,Click
74.33947,tv,Click
74.85545,tv,Click
75.36837,tv,Click
75.8702,tv,Click
76.37073,tv,Click
76.88188,tv,Click
77.39074,tv,Click
77.95601,tv,Click
78.53351,tv,Click
79.03979,tv,Click
79.62833,tv,Click
80.18011,tv,Click
80.75491,tv,Click
81.25588,tv,Click
81.76366,tv,Click
82.33939,tv,Click
82.92031,tv,Click
83.43349,tv,Click
83.9525,tv,Click
84.53616,tv,Click
85.08309,tv,Click
85.58356,tv,Click
86.11786,tv,Click
86.67878,tv,Click
87.21929,tv,Click
87.71961,tv,Click
88.29114,tv,Click
88.84955,tv,Click
89.40163,tv,Click
89.90223,tv,Click
90.43446,tv,Click
90.99821,tv,Click
91.55441,tv,Click
92.11827,tv,Click
92.65322,tv,Click
93.18712,tv,Click
93.69392,tv,Click
