Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
Posterior,60.58468,0,12.7885,1.3085,-0.7664
Posterior,71.61981,0,12.7831,1.3316,-0.7574
Posterior,81.82864,0,12.7907,1.2992,-0.7677
Posterior,83.94241,0,12.7931,1.2883,-0.7681
Posterior,92.10558,0,12.7979,1.2666,-0.7648
Posterior,100.641,0,12.7974,1.2569,-0.7602
None,106.9002,0,12.7985,1.2406,-0.7496
GreaterCurvature,117.8658,0,12.8081,1.2227,-0.7284
GreaterCurvature,120.2203,0,12.8058,1.2178,-0.7200
GreaterCurvature,124.6606,0,12.8125,1.2144,-0.7088
None,133.151,0,12.8064,1.2270,-0.7340
Posterior,151.0887,0,12.7823,1.3442,-0.7483
GreaterCurvature,169.7053,0,12.8100,1.2140,-0.7101
GreaterCurvature,176.646,0,12.8068,1.2154,-0.7140
GreaterCurvature,184.1012,0,12.8154,1.2093,-0.6862
