Seconds,Target,Status
3.095695,tv,Enter
3.683875,tv,Click
4.202009,tv,Click
4.714854,tv,Click
5.236255,tv,Click
5.765487,tv,Click
6.281359,tv,Click
6.815136,tv,Click
7.318104,tv,Click
7.850401,tv,Click
8.366486,tv,Click
8.881989,tv,Click
9.41721,tv,Click
9.955986,tv,Click
10.45958,tv,Click
10.98883,tv,Click
11.49155,tv,Click
12.01321,tv,Click
12.59327,tv,Click
13.0962,tv,Click
13.50625,tv,Exit
15.32064,tv,Enter
15.85178,tv,Click
16.37349,tv,Click
16.90618,tv,Click
17.43858,tv,Click
17.98367,tv,Click
18.5131,tv,Click
19.04512,tv,Click
19.58223,tv,Click
20.11452,tv,Click
20.6315,tv,Click
21.16382,tv,Click
21.68411,tv,Click
22.2276,tv,Click
22.58099,tv,Exit
22.58099,floor,Enter
23.10886,floor,Click
23.19239,floor,Exit
23.19239,tv,Enter
23.72135,tv,Click
24.27002,tv,Click
24.79353,tv,Click
25.32606,tv,Click
25.85894,tv,Click
26.39265,tv,Click
26.93092,tv,Click
27.46446,tv,Click
28.00178,tv,Click
28.55367,tv,Click
29.09385,tv,Click
29.63288,tv,Click
30.17928,tv,Click
30.71227,tv,Click
31.24843,tv,Click
31.78022,tv,Click
32.30497,tv,Click
32.8432,tv,Click
33.36592,tv,Exit
33.36592,floor,Enter
33.63417,floor,Exit
33.63417,tv,Enter
34.18216,tv,Click
34.72047,tv,Click
35.25465,tv,Click
35.77955,tv,Click
36.32707,tv,Click
36.87201,tv,Click
37.38671,tv,Click
37.91743,tv,Click
38.45027,tv,Click
38.97101,tv,Click
39.50167,tv,Click
40.01939,tv,Click
40.54036,tv,Click
41.07896,tv,Click
41.61177,tv,Click
42.14513,tv,Click
42.66745,tv,Click
43.21887,tv,Click
43.74602,tv,Click
44.27777,tv,Click
44.79378,tv,Click
45.31292,tv,Click
45.84331,tv,Click
46.38046,tv,Click
46.89387,tv,Click
47.39461,tv,Click
47.92017,tv,Click
48.42464,tv,Click
48.93335,tv,Click
49.45237,tv,Click
49.97646,tv,Click
50.49715,tv,Click
51.01183,tv,Click
51.55662,tv,Click
52.0952,tv,Click
52.63503,tv,Click
53.15914,tv,Click
53.66914,tv,Click
54.19525,tv,Click
54.7531,tv,Click
55.28626,tv,Click
55.79959,tv,Click
56.33864,tv,Click
56.84478,tv,Click
57.39786,tv,Click
57.91401,tv,Exit
58.62036,tv,Enter
59.12991,tv,Click
59.64717,tv,Click
60.16661,tv,Click
60.67429,tv,Click
61.2593,tv,Click
61.76973,tv,Click
62.33676,tv,Click
62.91779,tv,Click
63.41838,tv,Click
63.92476,tv,Click
64.46445,tv,Click
64.9913,tv,Click
65.52532,tv,Click
65.9773,tv,Exit
66.61292,tv,Enter
66.71292,tv,Exit
66.88387,tv,Enter
67.25468,tv,Exit
71.00141,tv,Enter
71.27649,tv,Exit
71.36242,tv,Enter
71.89844,tv,Click
72.43734,tv,Click
72.97966,tv,Click
73.52575,tv,Click
74.08332,tv,Click
74.63197,tv,Click
75.18377,tv,Click
75.45612,tv,Exit
78.09936,tv,Enter
78.65443,tv,Click
79.208,tv,Exit
79.58252,tv,Enter
80.13106,tv,Click
80.69136,tv,Click
81.12038,tv,Exit
81.22038,tv,Enter
81.31235,tv,Exit
87.65466,tv,Enter
88.19765,tv,Click
88.7317,tv,Click
89.27848,tv,Click
89.83436,tv,Click
90.38969,tv,Click
90.92849,tv,Click
91.47177,tv,Click
92.03223,tv,Click
92.56361,tv,Click
93.10043,tv,Click
93.64584,tv,Click
94.1823,tv,Click
94.73331,tv,Click
95.27448,tv,Click
95.82689,tv,Click
96.02004,tv,Exit
110.4378,tv,Enter
110.9758,tv,Click
111.5048,tv,Click
111.9522,tv,Exit
115.9517,tv,Enter
116.498,tv,Click
117.0121,tv,Click
117.5457,tv,Click
118.0778,tv,Click
118.6065,tv,Click
119.0508,tv,Exit
119.143,tv,Enter
119.6709,tv,Click
120.1062,tv,Exit
122.9348,tv,Enter
123.0348,tv,Exit
125.5027,tv,Enter
126.0227,tv,Click
126.3852,tv,Exit
138.4403,tv_stomachpos,Enter
138.9788,tv_stomachpos,Click
139.5084,tv_stomachpos,Click
140.0231,tv_stomachpos,Click
140.5385,tv_stomachpos,Click
141.0561,tv_stomachpos,Click
141.5595,tv_stomachpos,Click
142.0646,tv_stomachpos,Click
142.5866,tv_stomachpos,Click
143.1139,tv_stomachpos,Click
143.6582,tv_stomachpos,Click
144.1925,tv_stomachpos,Click
144.717,tv_stomachpos,Click
145.2976,tv_stomachpos,Exit
145.4857,tv_stomachpos,Enter
146.0302,tv_stomachpos,Click
146.5606,tv_stomachpos,Click
147.0968,tv_stomachpos,Click
147.6303,tv_stomachpos,Click
148.19,tv_stomachpos,Click
148.7329,tv_stomachpos
