Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
Posterior,52.14293,0,12.7946,1.3265,-0.7567
None,64.82443,0,12.7318,1.3287,-0.5996
None,66.68368,0,12.7421,1.3082,-0.6012
None,98.82446,0,12.7768,1.2466,-0.6222
None,103.535,0,12.8084,1.2270,-0.6226
None,110.128,0,12.8346,1.2207,-0.6271
None,126.898,0,12.9356,1.2728,-0.6424
None,130.0705,0,12.9358,1.2732,-0.6425
None,131.3482,0,12.9358,1.2735,-0.6427
None,131.8627,0,12.9358,1.2734,-0.6428
None,132.3842,0,12.9359,1.2736,-0.6427
None,132.9176,0,12.9354,1.2733,-0.6437
None,133.4422,0,12.9355,1.2734,-0.6436
None,134.0097,0,12.9355,1.2734,-0.6437
None,134.5781,0,12.9356,1.2734,-0.6433
None,135.1246,0,12.9355,1.2732,-0.6432
None,136.0911,0,12.9358,1.2734,-0.6426
None,136.6553,0,12.9354,1.2731,-0.6434
None,137.7081,0,12.9357,1.2733,-0.6429
None,138.2695,0,12.9353,1.2730,-0.6438
None,139.1618,0,12.9443,1.2837,-0.6219
None,140.6235,0,12.9453,1.2850,-0.6183
None,141.914,0,12.9453,1.2851,-0.6180
None,145.0508,0,12.9497,1.3045,-0.5821
