Seconds,Target,Status
3.11284,tv,Enter
3.613305,tv,Click
4.15524,tv,Click
4.672283,tv,Click
5.195021,tv,Click
5.721757,tv,Click
6.236057,tv,Click
6.768794,tv,Click
7.281359,tv,Click
7.800781,tv,Click
8.32204,tv,Click
8.841124,tv,Click
9.356324,tv,Click
9.942101,tv,Click
10.53517,tv,Click
11.10555,tv,Click
11.61677,tv,Click
12.13602,tv,Click
12.64389,tv,Click
13.19956,tv,Click
13.71037,tv,Click
14.2146,tv,Click
14.78286,tv,Click
15.35917,tv,Click
15.92124,tv,Click
16.42946,tv,Click
16.93694,tv,Click
17.43936,tv,Click
18.01846,tv,Click
18.58057,tv,Click
19.15911,tv,Click
19.71096,tv,Click
20.21194,tv,Click
20.77762,tv,Click
21.34929,tv,Click
21.90674,tv,Click
22.40903,tv,Click
22.9882,tv,Click
23.57312,tv,Click
24.14651,tv,Click
24.70781,tv,Click
25.2828,tv,Click
25.84089,tv,Click
26.34119,tv,Click
26.91661,tv,Click
27.42715,tv,Click
27.99031,tv,Click
28.52224,tv,Click
29.02509,tv,Click
29.52608,tv,Click
30.09169,tv,Click
30.67848,tv,Click
31.24665,tv,Click
31.81371,tv,Click
32.38615,tv,Click
32.94717,tv,Click
33.5317,tv,Click
34.03711,tv,Click
34.61951,tv,Click
35.12279,tv,Click
35.67902,tv,Click
36.18149,tv,Click
36.75422,tv,Click
37.32865,tv,Click
37.91471,tv,Click
38.49697,tv,Click
38.72731,tv,Exit
38.72731,Instructions_TV,Enter
39.29176,Instructions_TV,Exit
39.29176,tv,Enter
39.87396,tv,Click
40.4651,tv,Click
41.01841,tv,Click
41.60135,tv,Click
42.17559,tv,Click
42.74689,tv,Click
43.25657,tv,Click
43.83197,tv,Click
44.394,tv,Click
44.95628,tv,Click
45.52015,tv,Click
46.08282,tv,Click
46.61385,tv,Click
47.1946,tv,Click
47.76115,tv,Click
48.26473,tv,Click
48.83128,tv,Click
49.4003,tv,Click
49.97092,tv,Click
50.53994,tv,Click
51.04311,tv,Click
51.5524,tv,Click
52.06617,tv,Click
52.64113,tv,Click
53.14536,tv,Click
53.70604,tv,Click
54.21209,tv,Click
54.72006,tv,Click
55.22006,tv,Click
55.79011,tv,Click
56.30608,tv,Click
56.88115,tv,Click
57.45197,tv,Click
57.97585,tv,Click
58.4827,tv,Click
58.98634,tv,Click
59.56017,tv,Click
60.14764,tv,Click
60.70763,tv,Click
61.28393,tv,Click
61.86214,tv,Click
62.37343,tv,Click
62.8825,tv,Click
63.45403,tv,Click
63.95611,tv,Click
64.48521,tv,Click
65.05119,tv,Click
65.56873,tv,Click
66.14389,tv,Click
66.7167,tv,Click
67.29066,tv,Click
67.8073,tv,Click
68.3628,tv,Click
68.87454,tv,Click
69.45972,tv,Click
70.04435,tv,Click
70.62302,tv,Click
71.12574,tv,Click
71.64314,tv,Click
72.22044,tv,Click
72.76949,tv,Click
73.27302,tv,Click
73.77781,tv,Click
74.35548,tv,Click
74.85783,tv,Click
75.42935,tv,Click
75.96895,tv,Click
76.54558,tv,Click
77.12447,tv,Click
77.69888,tv,Click
78.20213,tv,Click
78.70257,tv,Click
79.28723,tv,Click
79.87927,tv,Click
80.40431,tv,Click
80.9405,tv,Click
81.5311,tv,Click
82.03905,tv,Click
82.55045,tv,Click
83.06943,tv,Click
83.57533,tv,Click
84.10465,tv,Click
84.62506,tv,Click
85.14913,tv,Click
85.65285,tv,Click
86.15876,tv,Click
86.68114,tv,Click
87.21216,tv,Click
87.72047,tv,Click
88.23648,tv,Click
88.75009,tv,Click
89.25029,tv,Click
89.84547,tv,Click
90.34547,tv,Click
90.89568,tv,Click
91.4193,tv,Click
91.95277,tv,Click
92.50356,tv,Click
93.01688,tv,Click
93.57297,tv,Click
94.12439,tv,Click
94.63194,tv,Click
95.14752,tv,Click
95.66103,tv,Click
96.17525,tv,Click
96.68223,tv,Click
97.21066,tv,Click
97.78212,tv,Click
98.32462,tv,Click
98.86094,tv,Click
99.36897,tv,Click
99.87637,tv,Click
100.385,tv,Click
100.9415,tv,Click
101.4797,tv,Click
102.0526,tv,Click
102.5599,tv,Click
103.099,tv,Click
103.6003,tv,Click
104.1886,tv,Click
104.7032,tv,Click
105.2683,tv,Click
105.7797,tv,Click
106.2847,tv,Click
106.8714,tv,Click
107.3897,tv,Click
107.9344,tv,Click
108.436,tv,Click
108.9436,tv,Click
109.4631,tv,Click
109.9792,tv,Click
110.4801,tv,Click
110.9824,tv,Click
111.4957,tv,Click
112.0457,tv,Click
112.6231,tv,Click
113.1283,tv,Click
113.6362,tv,Click
114.1417,tv,Click
114.7258,tv,Click
115.2284,tv,Click
115.7303,tv,Click
116.3142,tv,Click
116.8209,tv,Click
117.3281,tv,Click
117.8369,tv,Click
118.3468,tv,Click
118.8509,tv,Click
119.3885,tv,Click
119.8885,tv,Click
120.4302,tv,Click
121.0198,tv,Click
121.5354,tv,Click
122.0518,tv,Click
122.5863,tv,Click
123.1031,tv,Click
123.618,tv,Click
124.1364,tv,Click
124.6416,tv,Click
125.1685,tv,Click
125.712,tv,Click
