BleedingType,BleedingIndex,BleedingStartTime,BleedingFinishTime,BleedingPosition(x),BleedingPosition(y),BleedingPosition(z)
Mild,3148,171.2897,176.2004,12.7214,1.2533,-0.6470
Mild,3456,229.8352,234.5578,12.6697,1.2693,-0.6918
Mild,2011,308.2294,312.8246,12.7826,1.2851,-0.6109
Mild,251,416.6685,420.9626,12.6848,1.3789,-0.6397
Brisk,3148,203.5615,203.5615,12.7214,1.2533,-0.6470
Brisk,3456,243.6411,243.6411,12.6697,1.2693,-0.6918
Brisk,2011,323.7669,323.7669,12.7826,1.2851,-0.6109
Brisk,251,424.0305,424.0305,12.6848,1.3789,-0.6397
