Seconds,Target,Status
3.239362,tv,Enter
3.788231,tv,Click
4.317475,tv,Click
4.822714,tv,Click
5.323497,tv,Click
5.875519,tv,Click
6.312665,tv,Exit
6.312665,Instructions_TV,Enter
6.82661,Instructions_TV,Click
7.276579,Instructions_TV,Exit
7.276579,tv,Enter
7.813366,tv,Click
8.316913,tv,Click
8.821649,tv,Click
9.369781,tv,Click
9.877367,tv,Click
10.42187,tv,Click
10.92393,tv,Click
11.42497,tv,Click
11.92735,tv,Click
12.4328,tv,Click
12.97727,tv,Click
13.5007,tv,Click
14.04751,tv,Click
14.5531,tv,Click
15.101,tv,Click
15.61708,tv,Click
16.11961,tv,Click
16.62391,tv,Click
17.17182,tv,Click
17.67298,tv,Click
18.19339,tv,Click
18.72643,tv,Click
19.23641,tv,Click
19.74032,tv,Click
20.25632,tv,Click
20.77655,tv,Click
21.27981,tv,Click
21.80167,tv,Click
22.30858,tv,Click
22.86063,tv,Click
23.40348,tv,Click
23.94989,tv,Click
24.50253,tv,Click
25.0438,tv,Click
25.58878,tv,Click
26.13705,tv,Click
26.67735,tv,Click
27.22531,tv,Click
27.76945,tv,Click
28.31643,tv,Click
28.85965,tv,Click
29.40491,tv,Click
29.78223,tv,Exit
29.78223,Instructions_TV,Enter
30.28067,Instructions_TV,Exit
30.28067,tv,Enter
30.80902,tv,Click
31.34369,tv,Click
31.86733,tv,Click
32.39656,tv,Click
32.93236,tv,Click
33.47432,tv,Click
34.00002,tv,Click
34.53505,tv,Click
35.06489,tv,Click
35.59327,tv,Click
36.12671,tv,Click
36.66625,tv,Click
37.20417,tv,Click
37.72799,tv,Click
38.26672,tv,Click
38.78917,tv,Click
39.33077,tv,Click
39.86937,tv,Click
40.40068,tv,Click
40.94152,tv,Click
41.47166,tv,Click
42.00836,tv,Click
42.5236,tv,Click
43.04476,tv,Click
43.58643,tv,Click
44.113,tv,Click
44.64193,tv,Click
45.16833,tv,Click
45.69609,tv,Click
46.2281,tv,Click
46.76979,tv,Click
47.29679,tv,Click
47.82964,tv,Click
48.35739,tv,Click
48.88591,tv,Click
49.4261,tv,Click
49.95151,tv,Click
50.46224,tv,Click
50.99836,tv,Click
51.53558,tv,Click
52.10069,tv,Click
52.60519,tv,Click
53.15812,tv,Click
53.70698,tv,Click
54.27011,tv,Click
54.82351,tv,Click
55.37859,tv,Click
55.92811,tv,Click
56.48683,tv,Click
57.04412,tv,Click
57.54882,tv,Click
58.06219,tv,Click
58.56527,tv,Click
59.06627,tv,Click
59.61977,tv,Click
60.18719,tv,Click
60.73561,tv,Click
61.28976,tv,Click
61.79328,tv,Click
62.35789,tv,Click
62.91263,tv,Click
63.44202,tv,Click
63.99706,tv,Click
64.53117,tv,Click
65.06587,tv,Click
65.60027,tv,Click
66.12994,tv,Click
66.65263,tv,Click
67.18706,tv,Click
67.72083,tv,Click
68.25549,tv,Click
68.79137,tv,Click
69.32499,tv,Click
69.85935,tv,Click
70.3956,tv,Click
70.9306,tv,Click
71.46096,tv,Click
71.9985,tv,Click
72.53159,tv,Click
73.07907,tv,Click
73.60583,tv,Click
74.15604,tv,Click
74.68976,tv,Click
75.22043,tv,Click
75.75702,tv,Click
76.2913,tv,Click
76.8252,tv,Click
77.36034,tv,Click
77.9035,tv,Click
78.44592,tv,Click
78.98099,tv,Click
79.5165,tv,Click
80.0517,tv,Click
80.58454,tv,Click
81.13598,tv,Click
81.65847,tv,Click
82.2019,tv,Click
82.73914,tv,Click
83.27622,tv,Click
83.80981,tv,Click
84.34394,tv,Click
84.89544,tv,Click
85.42947,tv,Click
85.96671,tv,Click
86.49991,tv,Click
87.04771,tv,Click
87.5806,tv,Click
88.13345,tv,Click
88.6515,tv,Click
89.21217,tv,Click
89.74039,tv,Click
90.27534,tv,Click
90.80939,tv,Click
91.31253,tv,Click
91.84595,tv,Click
92.4099,tv,Click
92.99046,tv,Click
93.49159,tv,Click
93.99843,tv,Click
94.51657,tv,Click
95.1035,tv,Click
95.68031,tv,Click
96.25228,tv,Click
96.81658,tv,Click
97.37767,tv,Click
97.94954,tv,Click
98.50794,tv,Click
99.01385,tv,Click
99.57059,tv,Click
100.1351,tv,Click
100.6452,tv,Click
101.148,tv,Click
101.6487,tv,Click
102.1585,tv,Click
102.6818,tv,Click
103.2455,tv,Click
103.7644,tv,Click
104.3283,tv,Click
104.8891,tv,Click
105.395,tv,Click
105.8992,tv,Click
106.4075,tv,Click
106.9711,tv,Click
107.4813,tv,Click
107.9901,tv,Click
108.4986,tv,Click
109.0064,tv,Click
109.5122,tv,Click
110.0853,tv,Click
110.586,tv,Click
111.0874,tv,Click
