Seconds,Target,Status
3.194402,tv,Enter
3.751191,tv,Click
4.316854,tv,Click
4.86088,tv,Click
5.394256,tv,Click
5.943809,tv,Click
6.471383,tv,Click
7.027538,tv,Click
7.554845,tv,Click
8.090644,tv,Click
8.636324,tv,Click
8.933652,tv,Exit
8.933652,tv_stomachpos,Enter
9.100363,tv_stomachpos,Exit
9.100363,tv,Enter
9.626471,tv,Click
10.16791,tv,Click
10.70816,tv,Click
11.24115,tv,Click
11.78904,tv,Click
12.31496,tv,Click
12.86411,tv,Click
13.39912,tv,Click
13.92916,tv,Click
14.47005,tv,Click
15.00707,tv,Click
15.55295,tv,Click
16.09713,tv,Click
16.63979,tv,Click
17.19159,tv,Click
17.72872,tv,Click
18.26098,tv,Click
18.80708,tv,Click
19.34885,tv,Click
19.89797,tv,Click
20.4438,tv,Click
20.97927,tv,Click
21.52223,tv,Click
22.07259,tv,Click
22.62828,tv,Click
23.17864,tv,Click
23.71793,tv,Click
24.2625,tv,Click
24.81524,tv,Click
25.3579,tv,Click
25.90749,tv,Click
26.45631,tv,Click
27.00399,tv,Click
27.54238,tv,Click
28.08092,tv,Click
28.63817,tv,Click
29.19408,tv,Click
29.71214,tv,Click
30.23337,tv,Click
30.75026,tv,Click
31.28781,tv,Click
31.80349,tv,Click
32.3389,tv,Click
32.8572,tv,Click
33.38625,tv,Click
33.9272,tv,Click
34.45586,tv,Click
34.97532,tv,Click
35.51019,tv,Click
36.02797,tv,Click
36.54587,tv,Click
37.0665,tv,Click
37.5833,tv,Click
38.11623,tv,Click
38.632,tv,Click
39.15472,tv,Click
39.67188,tv,Click
40.18508,tv,Click
40.69033,tv,Click
41.21349,tv,Click
41.72463,tv,Click
42.24342,tv,Click
42.76665,tv,Click
43.36353,tv,Click
43.86885,tv,Click
44.38224,tv,Click
44.9134,tv,Click
45.48394,tv,Click
46.00547,tv,Click
46.58982,tv,Click
47.10155,tv,Click
47.60876,tv,Click
48.12468,tv,Click
48.64177,tv,Click
49.1599,tv,Click
49.68211,tv,Click
50.19968,tv,Click
50.70693,tv,Click
51.23001,tv,Click
51.75102,tv,Click
52.27944,tv,Click
52.80856,tv,Click
53.33347,tv,Click
53.85679,tv,Click
54.38887,tv,Click
54.91305,tv,Click
55.4299,tv,Click
55.94559,tv,Click
56.47844,tv,Click
57.00967,tv,Click
57.53931,tv,Click
58.0593,tv,Click
58.58898,tv,Click
59.11329,tv,Click
59.63146,tv,Click
60.17304,tv,Click
60.69802,tv,Click
61.2195,tv,Click
61.73545,tv,Click
62.26438,tv,Click
62.79238,tv,Click
63.30544,tv,Click
63.8399,tv,Click
64.37159,tv,Click
