Seconds,Target,Status
3.114409,tv,Enter
3.677814,tv,Click
4.203252,tv,Click
4.70407,tv,Click
5.231948,tv,Click
5.737055,tv,Click
6.262003,tv,Click
6.762058,tv,Click
7.298145,tv,Click
7.815511,tv,Click
8.326247,tv,Click
8.910688,tv,Click
9.418253,tv,Click
9.958219,tv,Click
10.46674,tv,Click
11.0503,tv,Click
11.57014,tv,Click
12.08016,tv,Click
12.59801,tv,Click
13.11697,tv,Click
13.64489,tv,Click
14.16277,tv,Click
14.69193,tv,Click
15.21445,tv,Click
15.72952,tv,Click
16.2637,tv,Click
16.77963,tv,Click
17.29869,tv,Click
17.83439,tv,Click
18.3506,tv,Click
18.87852,tv,Click
19.41018,tv,Click
19.93261,tv,Click
20.45527,tv,Click
20.9572,tv,Click
21.49571,tv,Click
22.01245,tv,Click
22.53876,tv,Click
23.06054,tv,Click
23.57709,tv,Click
24.11244,tv,Click
24.66039,tv,Click
25.17861,tv,Click
25.70691,tv,Click
26.24516,tv,Click
26.78848,tv,Click
27.32654,tv,Click
27.85234,tv,Click
28.39646,tv,Click
28.93871,tv,Click
29.4747,tv,Click
30.00463,tv,Click
30.54175,tv,Click
31.07311,tv,Click
31.59086,tv,Click
32.11119,tv,Click
32.64934,tv,Click
33.18629,tv,Click
33.69893,tv,Click
34.21567,tv,Click
34.73822,tv,Click
35.26696,tv,Click
35.78881,tv,Click
36.30725,tv,Click
36.82206,tv,Click
37.3341,tv,Click
37.86703,tv,Click
38.37438,tv,Click
38.89689,tv,Click
39.41653,tv,Click
39.94313,tv,Click
40.47388,tv,Click
40.98692,tv,Click
41.50627,tv,Click
42.03863,tv,Click
42.56376,tv,Click
43.09037,tv,Click
43.62229,tv,Click
44.14153,tv,Click
44.65773,tv,Click
45.18829,tv,Click
45.72767,tv,Click
46.22776,tv,Click
46.74847,tv,Click
47.26958,tv,Click
47.81837,tv,Click
48.39223,tv,Click
48.95117,tv,Click
49.49769,tv,Click
50.02887,tv,Click
50.56442,tv,Click
51.07677,tv,Click
51.59893,tv,Click
52.12513,tv,Click
52.67249,tv,Click
53.21297,tv,Click
53.72469,tv,Click
54.24747,tv,Click
54.77701,tv,Click
55.28112,tv,Click
55.81501,tv,Click
56.33088,tv,Click
56.8568,tv,Click
57.37203,tv,Click
57.88879,tv,Click
58.4198,tv,Click
58.93066,tv,Click
59.43772,tv,Click
59.95704,tv,Click
60.46158,tv,Click
60.99847,tv,Click
61.52341,tv,Click
62.046,tv,Click
62.58852,tv,Click
63.09412,tv,Click
63.61021,tv,Click
64.14041,tv,Click
64.66625,tv,Click
65.1861,tv,Click
65.70206,tv,Click
66.21886,tv,Click
66.75296,tv,Click
67.2664,tv,Click
67.78274,tv,Click
68.32209,tv,Click
68.82845,tv,Click
69.35759,tv,Click
69.87653,tv,Click
70.38992,tv,Click
70.91444,tv,Click
71.43542,tv,Click
72.01748,tv,Click
72.52612,tv,Click
73.04292,tv,Click
73.56346,tv,Click
74.07343,tv,Click
74.59018,tv,Click
75.11558,tv,Click
75.63715,tv,Click
76.15658,tv,Click
76.65934,tv,Click
77.17091,tv,Click
77.69071,tv,Click
78.20135,tv,Click
78.76411,tv,Click
79.26979,tv,Click
79.8372,tv,Click
80.25574,tv,Exit
80.25574,Instructions_TV,Enter
80.50172,Instructions_TV,Exit
80.50172,tv,Enter
81.01324,tv,Click
81.52352,tv,Click
82.02606,tv,Click
82.53511,tv,Click
83.05888,tv,Click
83.6496,tv,Click
84.22025,tv,Click
84.73311,tv,Click
85.23437,tv,Click
85.74397,tv,Click
86.26734,tv,Click
86.77895,tv,Click
87.28928,tv,Click
87.87151,tv,Click
88.37517,tv,Click
88.87748,tv,Click
89.39561,tv,Click
89.96986,tv,Click
90.47358,tv,Click
91.05299,tv,Click
91.6293,tv,Click
92.22205,tv,Click
92.72205,tv,Click
93.23009,tv,Click
93.74509,tv,Click
94.32645,tv,Click
94.83117,tv,Click
95.41791,tv,Click
95.92222,tv,Click
96.42982,tv,Click
97.00397,tv,Click
97.59672,tv,Click
98.09854,tv,Click
98.69099,tv,Click
99.28096,tv,Click
99.87113,tv,Click
100.47,tv,Click
101.0432,tv,Click
101.6073,tv,Click
102.1526,tv,Click
102.6638,tv,Click
103.1672,tv,Click
103.6712,tv,Click
104.2499,tv,Click
104.762,tv,Click
105.3486,tv,Click
105.8492,tv,Click
106.4366,tv,Click
106.9455,tv,Click
107.4535,tv,Click
108.0338,tv,Click
108.6331,tv,Click
109.2224,tv,Click
109.8156,tv,Click
110.4132,tv,Click
110.9698,tv,Click
111.5535,tv,Click
112.0695,tv,Click
112.581,tv,Click
113.0861,tv,Click
113.5898,tv,Click
114.1023,tv,Click
114.6724,tv,Click
115.1797,tv,Click
115.7274,tv,Click
116.2576,tv,Click
116.7693,tv,Click
117.3065,tv,Click
117.8219,tv,Click
118.3996,tv,Click
118.9079,tv,Click
119.4081,tv,Click
119.922,tv,Click
120.4231,tv,Click
120.9295,tv,Click
121.4332,tv,Click
121.94,tv,Click
122.5329,tv,Click
123.0381,tv,Click
123.6293,tv,Click
124.1399,tv,Click
124.7163,tv,Click
125.2632,tv,Click
125.7823,tv,Click
126.3158,tv,Click
126.8397,tv,Click
127.3412,tv,Click
127.8616,tv,Click
128.4575,tv,Click
128.9637,tv,Click
129.5267,tv,Click
130.0275,tv,Click
130.5339,tv,Click
131.0435,tv,Click
131.5435,tv,Click
132.0616,tv,Click
132.5639,tv,Click
133.0673,tv,Click
133.6061,tv,Click
134.2056,tv,Click
134.7829,tv,Click
135.2919,tv,Click
135.8666,tv,Click
136.375,tv,Click
136.8986,tv,Click
137.4821,tv,Click
137.9894,tv,Click
138.4989,tv,Click
139.0181,tv,Click
139.5243,tv,Click
140.0444,tv,Click
140.5444,tv,Click
141.0774,tv,Click
141.6497,tv,Click
142.1497,tv,Click
142.6587,tv,Click
143.1705,tv,Click
143.7183,tv,Click
144.2451,tv,Click
144.7818,tv,Click
145.2897,tv,Click
145.7952,tv,Click
146.3762,tv,Click
146.8854,tv,Click
147.453,tv,Click
148.0102,tv,Click
148.5259,tv,Click
149.0415,tv,Click
149.5427,tv,Click
150.0544,tv,Click
150.5688,tv,Click
151.0856,tv,Click
151.6609,tv,Click
152.2481,tv,Click
152.7601,tv,Click
153.3481,tv,Click
153.8527,tv,Click
154.3571,tv,Click
154.8581,tv,Click
155.427,tv,Click
156.0097,tv,Click
156.5208,tv,Click
157.087,tv,Click
157.5952,tv,Click
158.1809,tv,Click
158.7712,tv,Click
159.2908,tv,Click
159.8105,tv,Click
160.3219,tv,Click
160.8392,tv,Click
161.4222,tv,Click
161.9835,tv,Click
162.4875,tv,Click
162.9995,tv,Click
163.5714,tv,Click
164.1539,tv,Click
164.7346,tv,Click
165.3166,tv,Click
165.8432,tv,Click
166.4119,tv,Click
166.9782,tv,Click
167.493,tv,Click
167.9956,tv,Click
168.4972,tv,Click
169.0791,tv,Click
169.5951,tv,Click
170.0997,tv,Click
170.6771,tv,Click
171.2003,tv,Click
171.7787,tv,Click
172.3476,tv,Click
172.9196,tv,Click
173.4711,tv,Click
174.052,tv,Click
174.6252,tv,Click
175.1404,tv,Click
175.6465,tv,Click
176.1496,tv,Click
176.6665,tv,Click
177.2406,tv,Click
177.8128,tv,Click
178.3202,tv,Click
178.9025,tv,Click
179.4854,tv,Click
179.991,tv,Click
180.5748,tv,Click
181.1427,tv,Click
181.7219,tv,Click
182.2941,tv,Click
182.8761,tv,Click
183.4562,tv,Click
184.0152,tv,Click
184.6088,tv,Click
185.1766,tv,Click
185.7557,tv,Click
186.3214,tv,Click
186.8318,tv,Click
187.4316,tv,Click
188.0065,tv,Click
188.5348,tv,Click
189.0382,tv,Click
189.5884,tv,Click
190.1627,tv,Click
190.6758,tv,Click
191.2587,tv,Exit
191.526,tv,Enter
192.0893,tv,Click
192.6764,tv,Click
193.2513,tv,Click
193.8302,tv,Click
194.3839,tv,Click
194.9418,tv,Click
195.5038,tv,Click
196.0082,tv,Click
196.5741,tv,Click
197.1506,tv,Click
197.7134,tv,Click
198.2795,tv,Click
198.8638,tv,Click
199.422,tv,Click
199.9379,tv,Click
200.5138,tv,Click
201.0736,tv,Click
201.634,tv,Click
202.1726,tv,Click
202.7509,tv,Click
203.2823,tv,Click
203.8377,tv,Click
204.392,tv,Click
204.9184,tv,Click
205.4635,tv,Click
205.9702,tv,Click
206.4822,tv,Click
207.0636,tv,Click
207.6472,tv,Click
208.2192,tv,Click
208.7467,tv,Click
209.2808,tv,Click
209.8442,tv,Click
210.3549,tv,Click
210.858,tv,Click
211.37,tv,Click
211.8723,tv,Click
212.3758,tv,Click
212.8836,tv,Click
213.4556,tv,Click
213.9755,tv,Click
214.5495,tv,Click
215.0578,tv,Click
215.5738,tv,Click
216.1486,tv,Click
216.7275,tv,Click
217.2475,tv,Click
217.7577,tv,Click
218.3314,tv,Click
218.8392,tv,Click
219.4054,tv,Click
219.9275,tv,Click
220.4719,tv,Click
220.9879,tv,Click
221.5193,tv,Click
222.0351,tv,Click
