Seconds,Target,Status
3.61451,tv,Enter
4.161552,tv,Click
4.66806,tv,Click
5.168527,tv,Click
5.674268,tv,Click
6.221047,tv,Click
6.721742,tv,Click
7.224039,tv,Click
7.750986,tv,Click
8.278128,tv,Click
8.804655,tv,Click
9.324106,tv,Click
9.860071,tv,Click
10.37664,tv,Click
10.91318,tv,Click
11.44936,tv,Click
11.96258,tv,Click
12.49522,tv,Click
13.03296,tv,Click
13.56861,tv,Click
14.10512,tv,Click
14.6193,tv,Click
15.12065,tv,Click
15.6686,tv,Click
16.21272,tv,Click
16.7583,tv,Click
17.31121,tv,Click
17.8632,tv,Click
18.38953,tv,Click
18.94065,tv,Click
19.49244,tv,Click
20.04509,tv,Click
20.5609,tv,Click
21.08641,tv,Click
21.61198,tv,Click
22.14799,tv,Click
22.6779,tv,Click
23.19638,tv,Click
23.70427,tv,Click
24.23746,tv,Click
24.75609,tv,Click
25.28409,tv,Click
25.80096,tv,Click
26.32848,tv,Click
26.84505,tv,Click
27.3733,tv,Click
27.88871,tv,Click
28.42242,tv,Click
28.94193,tv,Click
29.47099,tv,Click
29.99356,tv,Click
30.525,tv,Click
31.07458,tv,Click
31.59446,tv,Click
32.12791,tv,Click
32.66508,tv,Click
33.17745,tv,Click
33.70445,tv,Click
34.21622,tv,Click
34.75139,tv,Click
35.26889,tv,Click
35.79992,tv,Click
36.32146,tv,Click
36.85764,tv,Click
37.38492,tv,Click
37.9068,tv,Click
38.44824,tv,Click
38.97565,tv,Click
39.49435,tv,Click
40.03288,tv,Click
40.54548,tv,Click
41.07693,tv,Click
41.60264,tv,Click
42.14529,tv,Click
42.64653,tv,Click
43.20348,tv,Click
43.74743,tv,Click
44.30439,tv,Click
44.85,tv,Click
45.40129,tv,Click
45.953,tv,Click
46.49596,tv,Click
47.03823,tv,Click
47.58562,tv,Click
48.13609,tv,Click
48.68556,tv,Click
49.23247,tv,Click
49.78856,tv,Click
50.34096,tv,Click
50.88997,tv,Click
51.45019,tv,Click
51.99121,tv,Click
52.52967,tv,Click
53.07321,tv,Click
53.61179,tv,Click
54.15701,tv,Click
54.69151,tv,Click
55.23204,tv,Click
55.77245,tv,Click
