CrossProduct(x),CrossProduct(y),CrossProduct(z)
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.5161,0.5161,0.5161
0.7560,0.7560,0.7560
-0.1418,-0.1418,-0.1418
-0.9067,-0.9067,-0.9067
0.9574,0.9574,0.9574
0.7424,0.7424,0.7424
0.7884,0.7884,0.7884
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.9993,0.9993,0.9993
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.9443,0.9443,0.9443
0.7724,0.7724,0.7724
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.0000,0.0000,0.0000
0.9695,0.9695,0.9695
0.7106,0.7106,0.7106
0.0000,0.0000,0.0000
0.6377,0.6377,0.6377
0.0000,0.0000,0.0000
0.7872,0.7872,0.7872
0.0000,0.0000,0.0000
-0.3832,-0.3832,-0.3832
