Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
Posterior,122.8461,0,12.7925,1.3290,-0.7565
Posterior,137.3159,0,12.7951,1.3339,-0.7530
Posterior,145.5215,0,12.7853,1.3257,-0.7576
Posterior,146.0521,0,12.7843,1.3258,-0.7575
Posterior,146.5688,0,12.7822,1.3256,-0.7576
Posterior,147.0915,0,12.7814,1.3253,-0.7581
Posterior,147.6204,0,12.7808,1.3251,-0.7588
Posterior,164.3362,0,12.7805,1.3248,-0.7594
Posterior,164.8744,0,12.7794,1.3242,-0.7612
Posterior,165.3969,0,12.7788,1.3240,-0.7620
Posterior,165.9044,0,12.7778,1.3237,-0.7629
Posterior,166.4365,0,12.7764,1.3233,-0.7641
Posterior,166.979,0,12.7746,1.3231,-0.7650
Posterior,167.5591,0,12.7729,1.3230,-0.7655
Posterior,169.1021,0,12.7698,1.3260,-0.7643
None,169.6349,0,12.7689,1.3260,-0.7643
Posterior,170.1422,0,12.7703,1.3258,-0.7644
Posterior,170.6703,0,12.7707,1.3240,-0.7654
Posterior,172.7327,0,12.7687,1.3236,-0.7657
None,173.257,0,12.7675,1.3250,-0.7647
None,173.7695,0,12.7670,1.3255,-0.7642
None,174.2823,0,12.7660,1.3259,-0.7637
Posterior,174.7971,0,12.7662,1.3249,-0.7645
Posterior,182.8505,0,12.7864,1.3245,-0.7578
Posterior,183.382,0,12.7874,1.3253,-0.7577
Posterior,183.9099,0,12.7888,1.3256,-0.7575
Posterior,184.4223,0,12.7906,1.3263,-0.7572
Posterior,186.4214,0,12.7937,1.3305,-0.7557
Posterior,186.9434,0,12.7942,1.3310,-0.7553
Posterior,187.4792,0,12.7950,1.3315,-0.7547
Posterior,187.9827,0,12.7933,1.3358,-0.7522
Posterior,188.5105,0,12.7933,1.3363,-0.7517
Posterior,189.0316,0,12.7933,1.3372,-0.7509
Posterior,208.8851,0,12.7674,1.3277,-0.7624
Posterior,209.4037,0,12.7655,1.3285,-0.7615
Posterior,209.9207,0,12.7649,1.3294,-0.7610
Posterior,210.4406,0,12.7640,1.3309,-0.7608
Posterior,211.9006,0,12.7628,1.3335,-0.7607
Posterior,212.4832,0,12.7621,1.3342,-0.7607
Posterior,213.0074,0,12.7612,1.3344,-0.7613
Posterior,215.9493,0,12.7581,1.3421,-0.7548
Posterior,219.1271,0,12.7568,1.3487,-0.7531
None,230.1394,0,12.7884,1.3475,-0.7419
Posterior,278.5214,0,12.7759,1.3389,-0.7553
Posterior,282.0629,0,12.7734,1.3347,-0.7573
Posterior,282.6039,0,12.7738,1.3298,-0.7604
Posterior,283.1109,0,12.7742,1.3274,-0.7625
Posterior,283.6432,0,12.7745,1.3234,-0.7649
Posterior,288.9784,0,12.7736,1.3102,-0.7695
None,291.0442,0,12.7734,1.3152,-0.7682
None,291.5611,0,12.7735,1.3167,-0.7677
None,293.0547,0,12.7728,1.3053,-0.7707
None,293.5698,0,12.7727,1.3040,-0.7709
Posterior,294.0907,0,12.7724,1.3009,-0.7713
Posterior,294.6264,0,12.7722,1.2990,-0.7715
Posterior,295.1447,0,12.7718,1.2965,-0.7715
Posterior,295.6599,0,12.7717,1.2952,-0.7713
Posterior,296.1721,0,12.7715,1.2939,-0.7711
None,298.876,0,12.7703,1.2919,-0.7706
None,299.4035,0,12.7700,1.2879,-0.7712
None,299.9113,0,12.7697,1.2853,-0.7714
None,300.4338,0,12.7694,1.2826,-0.7714
None,300.9398,0,12.7695,1.2825,-0.7714
Posterior,303.8758,0,12.7677,1.2741,-0.7692
Posterior,304.3923,0,12.7657,1.2752,-0.7693
Posterior,304.9151,0,12.7651,1.2755,-0.7692
Posterior,306.2043,0,12.7658,1.2788,-0.7706
Posterior,309.1572,0,12.7649,1.2639,-0.7665
Posterior,312.1216,0,12.7634,1.2588,-0.7650
Posterior,313.2464,0,12.7634,1.2588,-0.7650
Posterior,313.7578,0,12.7635,1.2618,-0.7663
Posterior,314.2659,0,12.7628,1.2655,-0.7672
Posterior,314.7939,0,12.7633,1.2685,-0.7672
Posterior,315.3299,0,12.7637,1.2710,-0.7674
Posterior,315.8573,0,12.7644,1.2736,-0.7681
Posterior,322.9938,0,12.7593,1.2527,-0.7609
None,323.5068,0,12.7586,1.2515,-0.7593
None,324.0278,0,12.7575,1.2486,-0.7571
None,324.542,0,12.7582,1.2418,-0.7553
GreaterCurvature,328.2413,0,12.7600,1.2320,-0.7482
GreaterCurvature,328.7544,0,12.7587,1.2287,-0.7451
GreaterCurvature,329.2614,0,12.7576,1.2260,-0.7421
GreaterCurvature,331.7361,0,12.7594,1.2241,-0.7398
GreaterCurvature,332.262,0,12.7618,1.2237,-0.7391
GreaterCurvature,332.7757,0,12.7632,1.2230,-0.7374
GreaterCurvature,333.2983,0,12.7637,1.2226,-0.7361
GreaterCurvature,333.8008,0,12.7650,1.2227,-0.7350
GreaterCurvature,334.3148,0,12.7679,1.2235,-0.7351
GreaterCurvature,334.836,0,12.7703,1.2227,-0.7344
GreaterCurvature,335.4202,0,12.7717,1.2210,-0.7334
GreaterCurvature,335.9663,0,12.7736,1.2170,-0.7297
GreaterCurvature,341.2464,0,12.7769,1.2150,-0.7252
GreaterCurvature,341.7867,0,12.7770,1.2150,-0.7252
GreaterCurvature,342.463,0,12.7766,1.2142,-0.7233
GreaterCurvature,343.0509,0,12.7766,1.2142,-0.7232
GreaterCurvature,343.5515,0,12.7763,1.2134,-0.7217
GreaterCurvature,344.0686,0,12.7794,1.2121,-0.7189
GreaterCurvature,344.5774,0,12.7835,1.2109,-0.7172
GreaterCurvature,345.1024,0,12.7866,1.2106,-0.7160
GreaterCurvature,345.607,0,12.7897,1.2105,-0.7141
GreaterCurvature,346.1245,0,12.7920,1.2099,-0.7108
GreaterCurvature,346.6462,0,12.7933,1.2092,-0.7064
GreaterCurvature,347.1865,0,12.7953,1.2085,-0.7007
GreaterCurvature,347.7254,0,12.7951,1.2079,-0.6992
GreaterCurvature,351.2339,0,12.8074,1.2085,-0.6897
GreaterCurvature,351.78,0,12.8017,1.2071,-0.6916
GreaterCurvature,352.3111,0,12.8017,1.2084,-0.6961
GreaterCurvature,354.6178,0,12.8062,1.2080,-0.6891
GreaterCurvature,355.149,0,12.8071,1.2085,-0.6881
GreaterCurvature,355.6577,0,12.8089,1.2090,-0.6885
GreaterCurvature,356.1687,0,12.8118,1.2093,-0.6871
GreaterCurvature,356.6878,0,12.8148,1.2090,-0.6855
GreaterCurvature,357.2234,0,12.8170,1.2107,-0.6890
GreaterCurvature,357.7273,0,12.8188,1.2112,-0.6889
None,358.2677,0,12.8203,1.2115,-0.6883
None,358.7702,0,12.8222,1.2118,-0.6887
None,359.3112,0,12.8246,1.2126,-0.6914
None,359.844,0,12.8254,1.2135,-0.6947
