Seconds,Frame
3.73745608329773,38.8970489501953
4.28459930419922,20.5080547332764
4.78947591781616,20.1716499328613
5.31121873855591,19.4345607757568
5.83439207077026,19.3514137268066
6.36527347564697,19.1888103485107
6.88888931274414,19.391918182373
7.43135929107666,18.6120452880859
7.97776937484741,18.3725433349609
8.51552867889404,18.6503963470459
9.05554580688477,18.5779132843018
9.60037231445313,18.383975982666
10.1503801345825,18.2433300018311
10.6947288513184,18.4402847290039
11.1967535018921,17.9943714141846
11.6979494094849,17.9844646453857
12.1993646621704,17.9741153717041
12.6993932723999,18.0363883972168
13.2334156036377,16.8963603973389
13.7660675048828,16.9340572357178
14.3133296966553,16.4771041870117
14.8465671539307,16.9028568267822
15.4004259109497,16.3127918243408
15.9442911148071,16.5767364501953
16.4756317138672,16.9674224853516
17.0290603637695,16.2932643890381
17.5634727478027,16.8782615661621
18.1077251434326,16.573055267334
18.6485500335693,16.6672172546387
19.1946640014648,16.530460357666
19.7343921661377,16.7178535461426
20.2769393920898,16.6274013519287
20.8130588531494,16.8086204528809
21.3481426239014,16.8663349151611
21.8942718505859,16.5238590240479
22.4497241973877,16.2615089416504
22.9902896881104,16.6677913665771
23.5373020172119,16.4743041992188
24.0682048797607,16.9779891967773
24.6170749664307,16.4325923919678
25.1570739746094,16.6912040710449
25.6995410919189,16.623836517334
26.2484722137451,16.4455642700195
26.7822723388672,16.8956699371338
27.3291721343994,16.4953594207764
27.87158203125,16.6175899505615
28.4160327911377,16.5560817718506
28.9565372467041,16.6801738739014
29.4908142089844,16.8770771026611
30.0366668701172,16.5104484558105
30.5823230743408,16.5349445343018
31.0917510986328,15.7496719360352
31.6040687561035,15.6484212875366
32.1089820861816,15.8976154327393
32.6671295166016,16.1717128753662
33.2282485961914,16.0724315643311
33.7855224609375,16.1828002929688
34.3434638977051,16.1490077972412
34.8955154418945,16.4022598266602
35.4454765319824,16.3803730010986
35.958625793457,15.7325048446655
36.4869079589844,15.2846994400024
37.0355072021484,14.640248298645
37.5672225952148,15.0500288009644
38.1005325317383,15.0039653778076
38.6375312805176,14.9035949707031
39.1712951660156,14.9890203475952
39.705207824707,14.9855489730835
