Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
None,184.5248,0,12.6824,1.3903,-0.6474
None,185.0307,0,12.6824,1.3903,-0.6474
None,186.2292,0,12.6824,1.3903,-0.6474
None,190.4459,0,12.6838,1.3915,-0.6467
None,246.3032,0,12.6870,1.3936,-0.6504
None,247.0154,0,12.6870,1.3936,-0.6504
None,250.7741,0,12.6872,1.3930,-0.6442
None,251.6495,0,12.6875,1.3939,-0.6481
None,256.0772,0,12.6887,1.3946,-0.6496
None,267.8666,0,12.6844,1.3888,-0.6398
None,315.8876,0,12.6851,1.3929,-0.6533
None,318.7953,0,12.6851,1.3919,-0.6634
None,319.3041,0,12.6848,1.3919,-0.6625
None,320.1429,0,12.6846,1.3920,-0.6615
None,320.6461,0,12.6850,1.3918,-0.6632
None,321.2243,0,12.6855,1.3916,-0.6658
None,375.5018,0,12.7262,1.4000,-0.6563
LesserCurvature,376.0846,0,12.7265,1.4001,-0.6567
LesserCurvature,376.6548,0,12.7292,1.3975,-0.6506
LesserCurvature,377.9681,0,12.7322,1.3945,-0.6416
LesserCurvature,378.469,0,12.7322,1.3945,-0.6416
LesserCurvature,379.0428,0,12.7331,1.3927,-0.6398
None,380.8771,0,12.7367,1.3889,-0.6307
LesserCurvature,381.4522,0,12.7336,1.3918,-0.6384
LesserCurvature,381.9526,0,12.7328,1.3930,-0.6402
LesserCurvature,383.3504,0,12.7270,1.3993,-0.6540
LesserCurvature,383.8572,0,12.7262,1.3999,-0.6560
LesserCurvature,384.4399,0,12.7312,1.3957,-0.6436
None,384.9867,0,12.7346,1.3908,-0.6361
None,385.4925,0,12.7390,1.3839,-0.6269
None,386.0743,0,12.7396,1.3812,-0.6257
None,386.7352,0,12.7384,1.3855,-0.6276
None,387.3244,0,12.7388,1.3845,-0.6271
None,387.828,0,12.7384,1.3855,-0.6276
None,388.4833,0,12.7384,1.3855,-0.6276
None,390.477,0,12.7396,1.3819,-0.6260
None,390.9795,0,12.7415,1.3760,-0.6237
None,391.8034,0,12.7435,1.3744,-0.6190
None,403.0122,0,12.7254,1.4002,-0.6603
None,403.6353,0,12.7261,1.4001,-0.6571
None,404.4352,0,12.7235,1.4008,-0.6601
None,404.9816,0,12.7229,1.4015,-0.6610
None,405.5034,0,12.7227,1.4021,-0.6625
None,406.0278,0,12.7203,1.4028,-0.6679
None,406.5474,0,12.7184,1.4020,-0.6734
None,407.0778,0,12.7174,1.4002,-0.6770
None,407.5891,0,12.7155,1.3975,-0.6843
None,408.0983,0,12.7150,1.3976,-0.6864
None,457.6245,0,12.6987,1.3909,-0.6901
None,458.1671,0,12.7010,1.3913,-0.6910
None,458.7551,0,12.7010,1.3913,-0.6910
None,459.2636,0,12.7010,1.3913,-0.6910
None,459.7705,0,12.7011,1.3916,-0.6906
None,460.2889,0,12.7008,1.3941,-0.6875
None,460.7915,0,12.6977,1.3931,-0.6846
None,461.306,0,12.6978,1.3938,-0.6828
None,461.8205,0,12.6962,1.3939,-0.6811
None,463.8557,0,12.6916,1.3947,-0.6757
None,464.4859,0,12.6916,1.3947,-0.6757
None,464.9878,0,12.6893,1.3944,-0.6745
None,465.5035,0,12.6921,1.3946,-0.6727
None,466.0216,0,12.6874,1.3932,-0.6694
None,466.8605,0,12.6889,1.3931,-0.6677
Fundus,514.8579,0,12.6615,1.3345,-0.6390
None,515.3874,0,12.6615,1.3343,-0.6391
Fundus,515.9005,0,12.6614,1.3345,-0.6391
