Zone,ArgonTime,DistanceToZone,MarkPosition(x),MarkPosition(y),MarkPosition(z)
None,116.6619,0,12.6686,1.3792,-0.6749
None,119.106,0,12.6683,1.3791,-0.6747
None,138.1926,0,12.6679,1.3789,-0.6743
None,138.7126,0,12.6679,1.3789,-0.6743
None,139.2167,0,12.6679,1.3789,-0.6743
None,141.3337,0,12.6664,1.3768,-0.6513
None,141.844,0,12.6664,1.3768,-0.6513
None,142.3574,0,12.6664,1.3769,-0.6514
None,143.7921,0,12.6666,1.3762,-0.6493
None,144.7276,0,12.6663,1.3780,-0.6556
None,145.2374,0,12.6664,1.3783,-0.6579
None,145.7614,0,12.6665,1.3785,-0.6595
None,146.2765,0,12.6665,1.3786,-0.6601
None,146.7822,0,12.6666,1.3789,-0.6622
None,147.2951,0,12.6666,1.3789,-0.6627
None,147.8071,0,12.6666,1.3790,-0.6635
None,148.334,0,12.6668,1.3790,-0.6639
None,148.8579,0,12.6668,1.3790,-0.6642
None,166.8222,0,12.6651,1.3745,-0.6432
None,167.3532,0,12.6650,1.3718,-0.6404
None,167.88,0,12.6653,1.3701,-0.6396
None,168.4138,0,12.6650,1.3718,-0.6404
None,168.919,0,12.6656,1.3756,-0.6457
None,169.4495,0,12.6669,1.3774,-0.6517
None,169.9521,0,12.6671,1.3780,-0.6529
None,170.4608,0,12.6676,1.3785,-0.6549
None,171.0563,0,12.6681,1.3788,-0.6559
None,171.5729,0,12.6680,1.3787,-0.6557
None,172.3877,0,12.6680,1.3786,-0.6544
None,172.8951,0,12.6651,1.3729,-0.6412
Fundus,173.4026,0,12.6658,1.3671,-0.6386
Fundus,173.9072,0,12.6665,1.3625,-0.6368
None,174.4253,0,12.6651,1.3709,-0.6399
None,174.928,0,12.6648,1.3726,-0.6412
None,177.7936,0,12.6634,1.3605,-0.6401
None,178.3103,0,12.6615,1.3580,-0.6370
