Seconds,Target,Status
3.414776,tv,Enter
3.922627,tv,Click
4.467141,tv,Click
4.996748,tv,Click
5.538556,tv,Click
6.080326,tv,Click
6.599588,tv,Click
7.099607,tv,Click
7.647784,tv,Click
8.195126,tv,Click
8.701467,tv,Click
9.242703,tv,Click
9.786751,tv,Click
10.32039,tv,Click
10.82266,tv,Click
11.36271,tv,Click
11.86726,tv,Click
12.37251,tv,Click
12.90565,tv,Click
13.41316,tv,Click
13.95235,tv,Click
14.49685,tv,Click
14.99945,tv,Click
15.53228,tv,Click
16.04375,tv,Click
16.5449,tv,Click
17.04945,tv,Click
17.59488,tv,Click
18.09684,tv,Click
18.61229,tv,Click
19.14448,tv,Click
19.69639,tv,Click
20.23762,tv,Click
20.73789,tv,Click
21.28604,tv,Click
21.83201,tv,Click
22.36605,tv,Click
22.87378,tv,Click
23.40897,tv,Click
23.91356,tv,Click
24.46547,tv,Click
24.96969,tv,Click
25.47031,tv,Click
26.01007,tv,Click
26.52028,tv,Click
27.04893,tv,Click
27.6046,tv,Click
28.10673,tv,Click
28.61054,tv,Click
29.14974,tv,Click
29.66632,tv,Click
30.21058,tv,Click
30.7335,tv,Click
31.26515,tv,Click
31.79495,tv,Click
32.33873,tv,Click
32.86601,tv,Click
33.4045,tv,Click
33.94933,tv,Click
34.47759,tv,Click
35.01616,tv,Click
35.54846,tv,Click
36.07935,tv,Click
36.62143,tv,Click
37.15298,tv,Click
37.6892,tv,Click
38.23546,tv,Click
38.78111,tv,Click
39.3165,tv,Click
39.86745,tv,Click
40.39017,tv,Click
40.89717,tv,Click
41.43571,tv,Click
41.98241,tv,Click
42.48362,tv,Click
42.9992,tv,Click
43.53143,tv,Click
44.03765,tv,Click
44.56502,tv,Click
45.10923,tv,Click
45.61978,tv,Click
46.15812,tv,Click
46.69796,tv,Click
47.20208,tv,Click
47.70466,tv,Click
48.20538,tv,Click
48.73023,tv,Click
49.23853,tv,Click
49.73963,tv,Click
50.27661,tv,Click
50.82597,tv,Click
51.35994,tv,Click
51.88409,tv,Click
52.41468,tv,Click
52.9302,tv,Click
53.43167,tv,Click
53.96568,tv,Click
54.47702,tv,Click
54.97738,tv,Click
55.53315,tv,Click
56.08254,tv,Click
56.58927,tv,Click
57.12847,tv,Click
57.64353,tv,Click
58.1777,tv,Click
58.67861,tv,Click
