BleedingType,BleedingIndex,BleedingStartTime,BleedingFinishTime,BleedingPosition(x),BleedingPosition(y),BleedingPosition(z)
Mild,3494,225.5322,230.0067,12.6655,1.3265,-0.7201
Brisk,3494,283.5963,283.5963,12.6655,1.3265,-0.7201
