SutureSetCount,SutureCount,SutureIndex,SutureTime,IsAnchorExchangeDone,StomachPart,SuturePosition(x),SuturePosition(y),SuturePosition(z)
1,1,1181,91.47322,True,Posterior,12.7406,1.3515,-0.7498
1,2,3494,225.5322,True,None,12.6655,1.3265,-0.7201
