BleedingType,BleedingIndex,BleedingStartTime,BleedingFinishTime,BleedingPosition(x),BleedingPosition(y),BleedingPosition(z)
Mild,1287,310.3989,314.8042,12.7570,1.3250,-0.7576
Mild,3226,490.4837,496.1197,12.6870,1.2459,-0.7162
